Season,MatchId,RoundNumber,RoundName,utc,Home,Away,PlayerId,Player,Team,Period,Kicks,Handballs,Disposals
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261510,Tom Hawkins,Geelong,4,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294469,Aliir Aliir,Port Adelaide,1,5,0,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294469,Aliir Aliir,Port Adelaide,2,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294469,Aliir Aliir,Port Adelaide,3,3,1,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294469,Aliir Aliir,Port Adelaide,4,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280711,Charlie Dixon,Port Adelaide,1,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280711,Charlie Dixon,Port Adelaide,2,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280711,Charlie Dixon,Port Adelaide,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280711,Charlie Dixon,Port Adelaide,4,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1001299,Connor Rozee,Port Adelaide,1,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1001299,Connor Rozee,Port Adelaide,2,1,3,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1001299,Connor Rozee,Port Adelaide,3,3,3,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1001299,Connor Rozee,Port Adelaide,4,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994295,Dan Houston,Port Adelaide,1,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994295,Dan Houston,Port Adelaide,2,1,3,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994295,Dan Houston,Port Adelaide,3,5,4,9
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994295,Dan Houston,Port Adelaide,4,1,3,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I991930,Darcy Byrne-Jones,Port Adelaide,1,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I991930,Darcy Byrne-Jones,Port Adelaide,2,7,0,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I991930,Darcy Byrne-Jones,Port Adelaide,3,3,2,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I991930,Darcy Byrne-Jones,Port Adelaide,4,5,2,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I297354,Karl Amon,Port Adelaide,1,5,3,8
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I297354,Karl Amon,Port Adelaide,2,4,1,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I297354,Karl Amon,Port Adelaide,3,5,2,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I297354,Karl Amon,Port Adelaide,4,1,4,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1009191,Miles Bergman,Port Adelaide,2,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1009191,Miles Bergman,Port Adelaide,3,5,2,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1009191,Miles Bergman,Port Adelaide,4,7,1,8
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294318,Ollie Wines,Port Adelaide,1,1,6,7
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294318,Ollie Wines,Port Adelaide,2,4,8,12
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294318,Ollie Wines,Port Adelaide,3,0,6,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I294318,Ollie Wines,Port Adelaide,4,5,3,8
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296334,Orazio Fantasia,Port Adelaide,1,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296334,Orazio Fantasia,Port Adelaide,2,2,1,3
