MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160101,Daniel Rioli,Richmond,1.9,5.36,0,39,53,69,6,1,7,57.1,228,3,1,6,22.0,1,0.0,1,2,0.0,0,0,0.0,0,0.0,2,0,2,0,3,0.0,2016,1
20160101,Dylan Grimes,Richmond,0.9,6.34,0,27,24,84,4,2,6,83.3,89,1,2,2,9.0,1,1.0,1,3,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0.0,2016,1
20160101,Dylan Buckley,Carlton,-1.1,6.62,0,17,24,88,2,1,3,100.0,69,1,1,3,17.0,1,1.0,0,3,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2016,1
20160101,Levi Casboult,Carlton,-4.3,7.36,0,51,65,88,8,4,12,58.3,67,1,1,2,5.0,5,2.0,0,7,0.0,2,0,0.0,1,0.0,3,0,2,0,2,0.0,2016,1
20160102,Phil Davis,Greater Western Sydney,21.2,9.51,4,94,63,95,4,11,15,80.0,54,0,1,3,7.0,11,6.0,14,6,6.0,3,0,0.0,0,0.0,0,0,0,0,5,5.0,2016,1
20160102,Callan Ward,Greater Western Sydney,19.6,13.14,5,142,110,79,14,14,28,78.6,260,3,0,1,11.0,14,10.0,6,6,1.0,2,3,0.0,2,0.0,4,2,2,0,9,4.0,2016,1
20160102,Tom McDonald,Melbourne,18.4,10.7,6,110,86,92,17,5,22,90.9,389,1,2,0,3.0,6,2.0,12,8,4.0,2,0,0.0,0,0.0,0,0,0,0,5,4.0,2016,1
20160102,Ben Kennedy,Melbourne,15.7,7.49,0,115,77,82,12,9,21,81.0,443,3,3,1,9.0,8,7.0,1,4,0.0,0,2,0.0,0,0.0,2,1,1,3,7,1.0,2016,1
20160102,Jack Viney,Melbourne,15.1,11.15,10,106,115,86,14,18,32,62.5,517,4,6,6,16.0,15,9.0,1,5,0.0,1,4,0.0,0,0.0,0,0,0,0,11,1.0,2016,1
20160102,Ryan Griffen,Greater Western Sydney,13.8,12.6,0,81,62,83,4,11,15,80.0,265,3,2,5,16.0,10,6.0,2,2,0.0,0,4,0.0,0,0.0,1,0,1,0,6,2.0,2016,1
20160102,Matt Jones,Melbourne,13.7,6.97,0,90,80,86,7,14,21,95.2,152,1,0,3,10.0,8,7.0,3,6,1.0,0,1,0.0,0,0.0,0,0,0,0,8,1.0,2016,1
20160102,Nathan Jones,Melbourne,13.4,11.32,0,90,85,91,14,13,27,77.8,440,8,3,4,18.0,6,4.0,3,3,1.0,1,3,0.0,0,0.0,1,0,1,0,9,1.0,2016,1
20160102,Rhys Palmer,Greater Western Sydney,13.1,9.59,0,65,48,83,8,7,15,86.7,180,3,1,1,15.0,6,6.0,1,3,1.0,0,1,0.0,0,0.0,0,0,0,2,8,2.0,2016,1
20160102,Jesse Hogan,Melbourne,13.1,9.78,1,103,99,91,14,3,17,70.6,325,6,4,3,5.0,8,4.0,3,6,0.0,1,0,0.0,0,0.0,3,3,0,0,6,0.0,2016,1
20160102,Josh Kelly,Greater Western Sydney,12.5,8.89,0,86,71,76,10,8,18,83.3,364,5,0,4,13.0,5,4.0,0,3,0.0,0,3,0.0,0,0.0,0,0,0,2,5,0.0,2016,1
20160102,Clayton Oliver,Melbourne,12.0,5.36,0,75,61,58,5,17,22,72.7,112,1,4,2,11.0,15,10.0,3,2,0.0,1,6,0.0,0,0.0,0,0,0,0,6,3.0,2016,1
