MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20190102,Darcy Moore,Collingwood,11.2,8.28,5,77,52,92,13,3,16,81.3,378,2,4,0,8,,4,1,8,4,4,2,,0,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190102,Jordan Roughead,Collingwood,10.5,9.13,0,67,50,92,6,4,10,70.0,164,0,3,3,8,,5,4,6,5,1,0,,1,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190102,Callum Brown,Collingwood,10.4,6.08,0,54,40,64,4,5,9,77.8,118,0,0,3,16,,5,5,1,1,0,0,,0,0.0,0,0,0,1,1,0,0,3,1,2019,1
20190102,Chris Mayne,Collingwood,9.8,7.86,0,84,86,90,14,8,22,72.7,330,4,3,2,24,,6,3,7,6,3,0,,2,1.0,0,0,0,0,0,0,0,3,2,2019,1
20190102,Sam Menegola,Geelong,9.5,13.85,0,101,81,64,12,7,19,89.5,280,5,2,3,11,,7,6,1,6,0,0,,2,1.0,0,0,0,1,0,1,1,2,0,2019,1
20190102,Charlie Constable,Geelong,9.3,5.36,0,85,82,66,9,12,21,85.7,205,0,2,3,11,,5,4,1,4,0,0,,3,3.0,0,0,0,1,1,0,0,5,1,2019,1
20190102,Jeremy Howe,Collingwood,9.1,11.79,0,89,72,84,13,2,15,80.0,340,1,4,3,9,,5,3,10,5,3,0,,0,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190102,Tom Langdon,Collingwood,9.1,9.48,0,82,65,77,8,6,14,78.6,151,2,3,3,9,,6,4,8,5,3,1,,0,0.0,0,0,0,0,0,0,0,0,0,2019,1
20190102,Patrick Dangerfield,Geelong,8.7,17.52,5,97,103,87,16,11,27,59.3,509,6,8,3,21,,10,9,2,5,1,1,,5,3.0,0,0,0,5,1,2,0,8,2,2019,1
20190102,James Aish,Collingwood,8.4,8.3,0,73,85,83,15,4,19,68.4,350,2,4,4,11,,4,3,6,5,2,0,,0,0.0,0,0,0,0,0,0,0,3,1,2019,1
