MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20170101,Marc Murphy,Carlton,16.0,11.22,3,138,139,76,21,14,35,65.7,503,6,8,7,20,18,14,3,6,0,0,7,5,0,0,0,0,0,0,2,6,2,2017,1
20170101,Shaun Grigg,Richmond,15.3,8.8,0,113,111,85,16,11,27,77.8,448,8,5,6,12,8,5,5,4,2,0,4,6,0,0,0,1,1,0,2,7,4,2017,1
20170101,Kade Simpson,Carlton,14.6,12.34,0,107,126,92,22,11,33,69.7,594,3,6,3,8,12,7,8,7,1,0,4,2,0,0,0,0,0,0,0,6,2,2017,1
20170101,Brandon Ellis,Richmond,12.8,7.0,0,76,51,89,11,10,21,95.2,448,3,1,1,5,6,5,4,0,0,0,1,1,0,0,0,0,0,0,0,5,2,2017,1
20170101,Dylan Grimes,Richmond,12.4,7.25,0,63,57,81,4,7,11,100.0,172,1,0,7,11,6,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,1
20170101,Nick Vlastuin,Richmond,12.4,8.07,0,80,91,78,6,5,11,100.0,175,1,1,12,21,3,1,4,5,3,1,1,1,0,0,0,1,1,0,1,4,1,2017,1
20170101,Josh Caddy,Richmond,12.0,11.58,0,73,61,77,9,8,17,82.4,289,0,3,2,11,9,6,2,3,0,0,3,4,0,0,0,2,1,1,1,5,0,2017,1
20170101,Shane Edwards,Richmond,11.6,12.3,0,77,59,68,5,10,15,86.7,237,0,2,2,17,9,7,4,3,0,0,1,2,0,0,0,2,1,1,0,6,2,2017,1
20170101,Jacob Weitering,Carlton,11.5,9.02,0,75,65,76,6,4,10,90.0,149,2,2,0,3,4,2,0,7,0,1,0,0,0,0,0,3,3,0,1,6,0,2017,1
20170101,Jack Riewoldt,Richmond,11.2,10.62,0,82,83,96,10,2,12,66.7,309,4,6,7,16,6,2,0,5,0,1,1,1,2,0,0,4,1,1,1,6,0,2017,1
20170101,Daniel Rioli,Richmond,10.0,7.93,0,64,49,85,6,4,10,90.0,110,2,2,2,17,5,4,1,3,0,1,1,0,0,0,0,2,2,0,1,5,0,2017,1
20170101,Simon White,Carlton,9.0,6.99,0,49,49,85,7,3,10,70.0,160,0,4,3,6,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170101,Bachar Houli,Richmond,9.0,7.47,0,43,47,69,4,10,14,92.9,220,2,2,3,10,5,4,5,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2017,1
20170101,Alex Rance,Richmond,9.0,13.04,0,59,40,93,7,2,9,88.9,247,1,3,3,7,5,4,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2017,1
20170101,Caleb Marchbank,Carlton,8.5,6.46,0,97,78,88,15,4,19,78.9,274,1,6,2,12,10,5,13,8,5,3,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170101,David Astbury,Richmond,7.8,7.96,0,58,53,100,7,6,13,84.6,202,0,4,2,5,7,4,9,3,2,1,0,0,0,0,0,0,0,0,0,1,1,2017,1
20170101,Jack Silvagni,Carlton,7.7,5.73,0,58,64,79,8,3,11,72.7,255,3,2,1,12,4,3,0,5,0,0,0,0,0,0,0,4,2,2,1,7,0,2017,1
20170101,Ben Griffiths,Richmond,7.7,7.38,0,72,58,80,5,4,9,88.9,177,4,3,6,11,6,4,1,4,0,1,1,2,26,8,3,0,0,0,0,5,1,2017,1
20170101,Kamdyn McIntosh,Richmond,7.6,7.36,0,50,62,76,11,5,16,62.5,441,5,6,1,8,4,3,5,5,2,1,0,0,0,0,0,0,0,0,0,1,1,2017,1
20170101,Sam Petrevski-Seton,Carlton,7.4,5.36,0,59,65,71,7,4,11,54.5,126,2,2,7,25,8,4,3,2,0,0,3,4,0,0,0,0,0,0,0,2,1,2017,1
20170101,Ed Curnow,Carlton,7.3,9.38,0,54,77,86,13,6,19,73.7,313,3,6,4,13,5,4,3,5,0,0,5,3,0,0,0,0,0,0,0,5,2,2017,1
20170101,Billie Smedts,Carlton,7.1,5.84,0,55,61,70,8,9,17,88.2,161,1,2,1,11,5,2,2,5,1,1,3,2,0,0,0,0,0,0,0,3,1,2017,1
20170101,Dale Thomas,Carlton,6.9,8.03,0,51,71,76,12,5,17,76.5,356,5,5,1,18,2,1,2,6,1,1,0,0,0,0,0,1,1,0,1,4,0,2017,1
20170101,Jarrod Pickett,Carlton,6.9,5.72,0,28,30,68,2,3,5,60.0,114,1,0,3,11,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,2017,1
20170101,Levi Casboult,Carlton,6.3,5.64,0,54,61,81,5,5,10,70.0,112,2,3,2,7,7,3,2,4,1,3,1,1,18,11,3,2,1,1,0,2,0,2017,1
20170101,Patrick Cripps,Carlton,6.2,13.87,0,50,77,84,10,9,19,63.2,279,5,9,5,20,5,2,1,3,0,0,3,4,1,0,0,0,0,0,0,0,0,2017,1
20170101,Sam Docherty,Carlton,6.0,12.21,0,91,90,88,18,6,24,79.2,598,4,7,1,9,5,3,6,6,1,0,0,0,0,0,0,0,0,0,0,5,3,2017,1
20170101,Harrison Macreadie,Carlton,4.9,5.72,0,36,37,81,3,4,7,85.7,43,0,1,4,14,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2017,1
20170101,Sam Lloyd,Richmond,4.8,8.4,0,38,45,73,5,5,10,60.0,20,1,3,1,12,6,4,1,3,0,1,0,1,0,0,0,1,1,0,0,2,0,2017,1
20170101,Jason Castagna,Richmond,4.8,5.96,4,96,86,83,12,8,20,55.0,305,5,7,4,18,10,8,3,3,1,0,2,1,0,0,0,6,2,4,1,10,1,2017,1
20170101,Dennis Armfield,Carlton,4.7,8.9,0,29,26,82,1,5,6,83.3,32,0,1,1,12,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,2017,1
20170101,Taylor Hunt,Richmond,3.6,6.43,0,25,16,77,1,8,9,77.8,95,0,3,0,8,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2017,1
20170101,Charlie Curnow,Carlton,3.5,6.94,0,41,52,76,7,1,8,75.0,213,4,5,5,13,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170101,Reece Conca,Richmond,3.3,7.36,0,71,84,81,13,6,19,68.4,441,3,2,5,9,4,4,5,4,1,0,0,0,0,0,0,1,0,1,0,4,1,2017,1
20170102,Scott Pendlebury,Collingwood,36.3,16.46,9,146,135,82,16,19,35,82.9,465,6,2,6,19,24,16,6,3,0,0,10,13,0,0,0,2,2,0,0,9,3,2017,1
20170102,Steele Sidebottom,Collingwood,24.4,13.09,3,117,124,87,17,18,35,82.9,420,4,1,3,17,9,8,2,4,0,0,6,6,0,0,0,2,2,0,0,7,3,2017,1
20170102,Jason Johannisen,Western Bulldogs,23.4,11.13,8,126,109,82,18,12,30,86.7,424,3,3,0,11,9,8,4,7,1,0,2,2,0,0,0,2,2,0,2,7,1,2017,1
20170102,Marcus Bontempelli,Western Bulldogs,21.8,16.6,1,120,89,82,8,14,22,81.8,277,4,1,4,22,12,11,1,3,0,0,1,4,0,0,0,2,2,0,1,8,0,2017,1
20170102,Jeremy Howe,Collingwood,19.3,11.05,0,105,114,92,16,10,26,84.6,344,1,4,3,13,11,4,11,11,6,5,0,0,0,0,0,0,0,0,0,4,2,2017,1
20170102,Tom Liberatore,Western Bulldogs,16.3,14.81,0,102,115,77,8,8,16,68.8,219,1,3,14,44,11,8,3,4,0,1,3,2,0,0,0,1,1,0,0,5,1,2017,1
20170102,Lachie Hunter,Western Bulldogs,16.3,10.45,3,94,101,83,13,8,21,76.2,310,3,5,2,13,5,3,2,6,0,0,0,1,0,0,0,3,3,0,0,8,1,2017,1
20170102,Liam Picken,Western Bulldogs,14.9,11.7,0,90,105,80,12,8,20,85.0,223,2,0,4,14,6,4,3,8,0,1,1,0,0,0,0,2,2,0,0,7,2,2017,1
20170102,Will Hoskin-Elliott,Collingwood,13.7,6.92,0,88,95,90,15,7,22,86.4,380,6,1,1,9,6,4,2,8,1,1,1,1,0,0,0,1,1,0,0,5,1,2017,1
20170102,Travis Cloke,Western Bulldogs,13.6,7.06,0,65,71,82,12,2,14,57.1,331,3,1,1,7,9,4,3,6,0,2,2,2,12,1,0,2,1,0,2,5,1,2017,1
20170102,Taylor Adams,Collingwood,13.5,12.38,0,117,151,76,20,13,33,60.6,536,4,7,12,23,14,9,4,6,0,0,7,9,0,0,0,0,0,0,1,6,3,2017,1
20170102,Alex Fasolo,Collingwood,13.4,11.16,0,106,115,85,13,9,22,63.6,252,2,2,3,15,11,8,2,8,0,2,1,2,0,0,0,6,3,3,0,12,2,2017,1
20170102,Adam Treloar,Collingwood,12.3,14.84,0,96,125,75,20,13,33,72.7,564,10,9,3,12,11,6,1,8,0,0,6,8,0,0,0,1,1,0,0,4,1,2017,1
20170102,Brayden Maynard,Collingwood,12.2,7.66,0,77,77,83,11,5,16,100.0,305,2,4,4,11,4,4,6,7,2,0,1,0,0,0,0,0,0,0,0,1,0,2017,1
20170102,Matthew Suckling,Western Bulldogs,11.9,8.1,0,81,90,74,17,2,19,89.5,624,5,3,2,12,3,2,6,11,2,1,0,0,0,0,0,0,0,0,0,5,4,2017,1
20170102,Tom Phillips,Collingwood,11.8,6.69,0,82,86,80,12,14,26,65.4,350,3,7,4,14,9,7,4,2,0,0,4,2,0,0,0,0,0,0,1,3,1,2017,1
20170102,Robert Murphy,Western Bulldogs,11.7,11.36,2,72,81,87,15,7,22,86.4,402,5,5,1,6,4,3,5,6,2,0,1,1,0,0,0,1,0,0,2,7,2,2017,1
20170102,Stewart Crameri,Western Bulldogs,11.6,10.21,0,69,68,75,8,9,17,76.5,146,2,4,4,19,9,8,4,4,0,0,1,1,0,0,0,2,1,0,2,7,2,2017,1
20170102,Jack Macrae,Western Bulldogs,11.2,10.37,0,92,116,79,15,10,25,80.0,368,2,5,7,21,5,3,5,7,0,0,2,1,0,0,0,0,0,0,0,3,1,2017,1
20170102,Matthew Boyd,Western Bulldogs,10.6,10.55,0,87,87,80,14,12,26,73.1,311,1,1,2,7,6,5,4,2,0,0,1,1,0,0,0,2,1,1,1,7,3,2017,1
20170102,Dale Morris,Western Bulldogs,10.6,9.43,0,64,60,97,6,10,16,87.5,166,1,2,1,12,5,3,5,7,3,2,0,1,0,0,0,0,0,0,0,2,0,2017,1
20170102,Brodie Grundy,Collingwood,10.0,11.3,0,82,94,75,7,5,12,83.3,125,1,1,4,9,4,3,2,7,1,1,1,2,59,29,11,0,0,0,1,6,5,2017,1
20170102,Lin Jong,Western Bulldogs,9.8,9.92,0,67,87,85,2,9,11,81.8,63,1,0,14,23,7,5,3,2,0,1,1,1,0,0,0,1,0,1,0,4,1,2017,1
20170102,Jesse White,Collingwood,9.5,9.38,0,69,85,85,13,5,18,66.7,299,3,3,2,7,5,4,1,8,0,1,0,0,0,0,0,3,1,1,1,7,0,2017,1
20170102,Toby McLean,Western Bulldogs,8.7,9.41,0,59,84,76,8,5,13,69.2,109,3,2,7,20,5,4,2,5,0,0,1,1,0,0,0,1,1,0,0,3,0,2017,1
20170102,Fletcher Roberts,Western Bulldogs,8.5,6.87,4,58,43,92,8,2,10,90.0,204,0,4,2,11,4,1,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170102,Chris Mayne,Collingwood,8.4,7.64,0,62,72,75,9,4,13,69.2,136,3,3,5,23,5,4,1,4,0,0,0,0,0,0,0,5,1,1,1,5,0,2017,1
20170102,Caleb Daniel,Western Bulldogs,7.9,10.09,0,62,62,77,10,12,22,68.2,297,1,6,2,13,7,6,3,1,0,0,2,1,0,0,0,1,0,0,0,5,1,2017,1
20170102,Zaine Cordy,Western Bulldogs,7.9,6.29,0,59,45,89,10,4,14,78.6,296,1,4,2,11,4,1,4,2,1,0,1,0,0,0,0,0,0,0,0,4,1,2017,1
20170102,Mason Cox,Collingwood,7.6,7.94,0,38,42,69,3,5,8,50.0,47,0,2,0,5,5,2,2,1,0,1,0,1,25,21,7,2,0,1,0,4,1,2017,1
20170102,Easton Wood,Western Bulldogs,7.6,10.01,0,63,69,82,9,5,14,85.7,277,0,3,2,18,5,3,4,8,1,2,0,0,0,0,0,0,0,0,0,1,1,2017,1
20170102,Luke Dahlhaus,Western Bulldogs,7.3,11.58,0,85,99,75,9,15,24,66.7,167,2,3,7,17,11,9,1,4,0,0,5,5,0,0,0,2,0,1,0,6,1,2017,1
20170102,Ben Reid,Collingwood,7.1,8.74,0,44,56,83,7,5,12,83.3,144,0,2,1,5,1,0,1,7,1,0,1,1,0,0,0,0,0,0,0,1,1,2017,1
20170102,Travis Varcoe,Collingwood,7.1,8.4,0,59,60,78,8,7,15,80.0,64,3,1,2,22,6,4,1,5,0,1,0,0,0,0,0,1,0,1,2,4,0,2017,1
20170102,Tyson Goldsack,Collingwood,7.1,8.44,0,42,39,75,5,3,8,100.0,124,0,1,2,10,2,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2017,1
20170102,Jackson Ramsay,Collingwood,6.9,8.62,0,73,82,90,12,13,25,76.0,357,4,4,3,23,8,7,4,5,0,0,0,2,0,0,0,1,0,1,0,4,0,2017,1
20170102,Josh Smith,Collingwood,4.8,7.25,0,62,73,92,14,6,20,70.0,325,3,4,1,19,5,5,5,6,1,0,0,1,0,0,0,0,0,0,0,3,2,2017,1
20170102,Tom Boyd,Western Bulldogs,4.4,7.25,0,39,37,88,1,4,5,80.0,56,1,2,2,14,2,1,1,1,1,0,1,2,72,24,5,0,0,0,0,2,1,2017,1
20170102,Jarryd Blair,Collingwood,4.1,8.89,0,64,61,80,6,9,15,53.3,143,3,2,4,15,13,10,4,3,0,0,3,3,0,0,0,2,0,2,1,5,0,2017,1
20170102,Jake Stringer,Western Bulldogs,4.1,11.95,0,51,79,78,11,3,14,57.1,266,2,1,4,23,4,1,0,7,0,1,1,1,0,0,0,4,1,3,0,6,0,2017,1
20170102,Shane Biggs,Western Bulldogs,2.8,7.76,0,58,73,80,14,3,17,64.7,474,1,5,3,16,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,2,1,2017,1
20170102,Henry Schade,Collingwood,0.8,6.44,0,27,33,85,4,6,10,90.0,103,0,2,0,8,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2017,1
20170102,Jack Crisp,Collingwood,0.4,11.29,0,52,72,77,11,6,17,58.8,212,1,3,3,22,3,2,0,6,0,0,1,1,0,0,0,0,0,0,0,3,0,2017,1
20170102,Darcy Moore,Collingwood,0.3,7.36,0,29,41,83,7,3,10,60.0,168,2,5,1,15,4,4,1,4,0,0,0,0,0,0,0,1,0,1,0,2,1,2017,1
20170103,Christian Petracca,Melbourne,21.8,11.42,0,95,91,90,14,9,23,78.3,437,5,6,0,9,11,9,3,6,0,1,1,0,0,0,0,2,2,0,2,11,2,2017,1
20170103,Jesse Hogan,Melbourne,21.4,7.91,2,120,118,90,16,5,21,71.4,413,5,3,4,10,9,3,2,8,1,4,3,2,0,0,0,4,3,1,0,7,0,2017,1
20170103,Jack Viney,Melbourne,20.3,11.87,0,93,84,85,9,14,23,91.3,161,2,2,5,25,12,8,1,2,0,0,8,6,0,0,0,0,0,0,0,5,0,2017,1
20170103,Nathan Jones,Melbourne,20.0,11.43,3,132,126,87,15,20,35,80.0,435,5,4,4,17,10,6,4,6,0,0,4,5,0,0,0,1,1,0,1,11,0,2017,1
20170103,Billy Stretch,Melbourne,16.5,7.74,0,96,83,85,6,20,26,84.6,203,1,1,2,13,8,4,4,3,0,0,3,4,0,0,0,2,1,1,0,7,1,2017,1
20170103,Bernie Vince,Melbourne,16.4,9.29,5,114,103,85,19,11,30,83.3,324,0,3,0,6,5,4,7,8,2,0,0,1,0,0,0,1,1,0,0,5,2,2017,1
20170103,Jack Steven,St Kilda,16.2,14.07,0,75,94,80,17,10,27,59.3,573,4,6,3,15,8,7,0,4,0,0,3,4,0,0,0,1,0,1,0,6,1,2017,1
20170103,Oscar McDonald,Melbourne,15.7,8.74,0,80,71,91,13,6,19,78.9,193,0,2,2,10,9,6,9,5,1,1,1,1,0,0,0,0,0,0,0,4,3,2017,1
20170103,Alex Neal-Bullen,Melbourne,15.2,6.08,0,90,110,82,16,7,23,60.9,404,6,5,6,24,10,9,3,5,0,1,4,2,0,0,0,4,1,3,0,10,3,2017,1
20170103,Mitch Hannan,Melbourne,15.1,5.72,0,96,88,82,10,6,16,81.3,271,5,3,4,12,4,4,0,7,0,0,1,0,0,0,0,2,2,0,3,8,0,2017,1
20170103,Nick Riewoldt,St Kilda,14.3,10.12,2,105,99,83,12,2,14,71.4,253,4,4,3,13,6,2,0,7,0,3,0,0,0,0,0,4,4,0,0,8,0,2017,1
20170103,Jeff Garlett,Melbourne,13.6,9.43,0,70,63,94,7,2,9,33.3,144,3,3,4,26,4,4,0,1,0,0,0,0,0,0,0,4,3,1,0,4,0,2017,1
20170103,Clayton Oliver,Melbourne,13.6,10.57,9,109,122,75,9,27,36,88.9,43,0,3,7,22,14,10,3,5,0,0,9,10,0,0,0,1,0,0,1,6,4,2017,1
20170103,Josh Bruce,St Kilda,13.6,7.02,0,64,47,88,6,7,13,84.6,134,2,2,1,15,8,5,2,2,1,1,2,1,10,0,0,1,1,0,0,6,2,2017,1
20170103,Luke Dunstan,St Kilda,13.4,9.59,0,62,71,73,8,8,16,75.0,239,4,2,3,24,6,3,0,4,0,0,4,4,0,0,0,1,1,0,0,5,0,2017,1
20170103,Neville Jetta,Melbourne,13.3,8.95,0,75,75,79,11,9,20,85.0,47,0,2,2,10,8,6,8,5,1,1,0,0,0,0,0,1,1,0,0,2,1,2017,1
20170103,Jack Billings,St Kilda,12.9,8.21,0,75,75,89,10,10,20,60.0,345,3,3,3,18,9,9,3,2,0,0,2,3,0,0,0,2,1,1,0,4,1,2017,1
20170103,Jack Steele,St Kilda,12.8,8.1,0,113,94,78,8,15,23,78.3,111,1,1,4,25,12,7,5,7,1,2,3,5,0,0,0,1,0,1,0,5,1,2017,1
20170103,Jayden Hunt,Melbourne,12.2,10.18,0,78,87,89,14,5,19,84.2,385,4,1,5,19,4,2,3,5,0,0,0,0,0,0,0,1,0,1,1,6,2,2017,1
20170103,Jarryn Geary,St Kilda,11.7,8.06,0,88,63,91,10,10,20,80.0,278,1,3,1,11,7,5,6,3,0,0,2,0,0,0,0,0,0,0,0,4,1,2017,1
20170103,Jake Carlisle,St Kilda,11.6,8.3,0,66,37,86,5,6,11,81.8,150,0,3,1,7,8,7,8,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170103,Nathan Brown,St Kilda,11.5,6.93,0,56,27,90,2,7,9,100.0,66,0,0,1,6,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2017,1
20170103,Jade Gresham,St Kilda,11.5,9.72,0,64,65,77,9,3,12,91.7,157,3,2,1,17,5,4,2,4,2,0,0,0,0,0,0,4,3,1,1,6,0,2017,1
20170103,Angus Brayshaw,Melbourne,11.4,9.0,0,83,83,81,8,13,21,81.0,93,1,1,3,14,9,5,1,5,0,0,3,5,0,0,0,1,1,0,0,4,0,2017,1
20170103,Jack Lonie,St Kilda,11.4,7.05,0,74,65,75,8,7,15,60.0,236,3,5,6,29,9,8,2,0,0,0,3,2,0,0,0,2,1,1,1,6,2,2017,1
20170103,Max Gawn,Melbourne,11.3,15.42,5,128,111,84,9,4,13,46.2,105,2,2,4,11,7,6,2,4,1,0,3,4,64,49,21,1,0,1,1,7,6,2017,1
20170103,Jack Newnes,St Kilda,10.4,11.02,0,67,78,88,12,8,20,70.0,389,2,4,2,21,7,6,2,6,1,0,5,4,0,0,0,0,0,0,0,3,1,2017,1
20170103,Tim Membrey,St Kilda,10.0,10.12,0,66,68,86,10,5,15,60.0,222,5,2,3,7,9,5,4,2,1,1,0,0,0,0,0,2,1,1,1,9,1,2017,1
20170103,Tom Hickey,St Kilda,9.4,11.35,0,44,43,90,4,4,8,62.5,47,0,2,2,20,5,4,2,1,0,1,2,2,68,18,5,0,0,0,1,3,1,2017,1
20170103,Dylan Roberton,St Kilda,9.0,9.14,0,70,69,84,10,9,19,73.7,249,1,3,2,9,2,2,6,4,3,0,1,1,0,0,0,1,0,1,0,6,3,2017,1
20170103,Sam Weideman,Melbourne,8.2,5.62,0,54,45,86,4,8,12,66.7,169,2,1,1,6,5,4,1,2,0,0,0,0,0,0,0,2,1,1,2,7,0,2017,1
20170103,Sam Gilbert,St Kilda,7.1,8.96,0,49,46,74,6,5,11,81.8,110,1,2,3,11,4,4,5,3,2,0,0,0,0,0,0,0,0,0,0,3,1,2017,1
20170103,Jordan Lewis,Melbourne,7.0,10.11,4,104,119,87,18,14,32,78.1,322,6,7,3,12,9,5,2,9,0,0,4,3,0,0,0,0,0,0,0,7,1,2017,1
20170103,Christian Salem,Melbourne,7.0,7.3,0,63,83,85,17,3,20,80.0,408,3,4,2,16,2,2,2,8,0,0,0,0,0,0,0,0,0,0,1,5,2,2017,1
20170103,Shane Savage,St Kilda,6.3,10.45,0,65,52,87,8,7,15,86.7,337,1,4,2,13,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,2,2017,1
20170103,Jimmy Webster,St Kilda,5.0,8.21,0,43,49,73,10,4,14,57.1,225,1,5,2,11,5,5,5,1,0,0,1,0,0,0,0,0,0,0,0,3,1,2017,1
20170103,Nathan Wright,St Kilda,3.9,6.77,0,23,23,66,3,5,8,50.0,163,2,1,1,16,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2017,1
20170103,Sebastian Ross,St Kilda,3.7,11.75,0,36,42,81,8,8,16,62.5,266,3,4,1,24,4,4,0,1,0,0,2,3,1,1,1,0,0,0,0,5,1,2017,1
20170103,David Armitage,St Kilda,3.3,12.37,0,74,60,76,6,10,16,56.3,82,0,2,3,11,7,3,4,2,0,0,0,1,0,0,0,2,1,1,1,3,1,2017,1
20170103,Joel Smith,Melbourne,2.3,5.72,0,23,18,14,3,2,5,60.0,50,0,2,1,3,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2017,1
20170103,Jack Watts,Melbourne,2.2,9.68,0,43,59,80,8,4,12,75.0,211,4,1,0,12,1,1,0,6,0,0,0,0,15,5,1,2,1,1,0,6,0,2017,1
20170103,Jake Melksham,Melbourne,1.2,9.06,0,44,60,73,11,4,15,93.3,242,0,4,1,9,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,1,0,2017,1
20170103,Maverick Weller,St Kilda,-1.5,9.87,0,54,72,86,7,8,15,46.7,218,2,1,5,12,7,3,2,4,0,0,1,1,0,0,0,3,0,2,0,7,1,2017,1
20170103,Tom McDonald,Melbourne,-2.7,12.79,0,78,104,97,18,6,24,62.5,434,1,4,1,6,2,1,2,13,1,0,0,0,0,0,0,0,0,0,0,5,1,2017,1
20170104,Lance Franklin,Sydney,24.7,14.55,4,125,110,96,13,5,18,66.7,414,5,0,3,8,9,3,0,7,0,3,1,1,0,0,0,7,4,2,0,11,0,2017,1
20170104,Josh P. Kennedy,Sydney,22.5,17.09,0,134,118,88,13,15,28,75.0,466,8,3,9,19,19,11,2,2,0,0,10,10,0,0,0,2,1,1,0,6,0,2017,1
20170104,Chad Wingard,Port Adelaide,18.9,11.93,2,104,90,89,8,11,19,78.9,303,4,3,3,17,8,6,2,4,0,1,0,0,0,0,0,4,3,1,1,7,0,2017,1
20170104,Sam Reid,Sydney,18.4,7.77,0,100,83,83,8,5,13,84.6,218,2,3,3,12,7,3,3,7,1,3,0,0,0,0,0,3,3,0,0,7,1,2017,1
20170104,Aaron Young,Port Adelaide,17.3,10.56,2,103,78,84,8,9,17,88.2,223,1,2,3,13,9,6,1,3,1,1,1,1,0,0,0,4,3,1,0,7,0,2017,1
20170104,Ollie Wines,Port Adelaide,16.7,12.61,10,125,110,83,17,16,33,66.7,523,5,2,5,16,16,11,3,3,0,0,9,9,0,0,0,1,0,1,2,7,1,2017,1
20170104,Brad Ebert,Port Adelaide,15.9,9.97,4,124,116,83,17,8,25,60.0,383,7,4,11,25,14,9,4,2,1,1,9,9,0,0,0,0,0,0,2,5,3,2017,1
20170104,Sam Powell-Pepper,Port Adelaide,15.2,5.72,4,78,71,67,12,7,19,63.2,460,5,7,2,14,8,8,1,3,0,0,7,7,0,0,0,3,2,1,0,6,3,2017,1
20170104,Zak Jones,Sydney,15.2,8.89,0,95,96,86,14,11,25,76.0,316,5,2,2,12,5,5,3,7,2,0,1,2,0,0,0,1,1,0,1,8,3,2017,1
20170104,Callum Mills,Sydney,14.7,9.38,0,78,67,87,14,4,18,94.4,447,5,3,2,5,6,2,6,4,2,0,2,3,0,0,0,0,0,0,0,6,3,2017,1
20170104,Tom Jonas,Port Adelaide,13.2,8.3,0,87,71,96,10,3,13,84.6,126,0,1,3,6,4,2,6,8,3,0,0,1,0,0,0,0,0,0,0,1,0,2017,1
20170104,Travis Boak,Port Adelaide,12.4,13.16,0,99,97,83,15,11,26,65.4,321,4,5,3,14,10,8,3,4,0,0,3,4,0,0,0,2,2,0,0,4,1,2017,1
